"rule_id","model_ids","requirement_ids","rule_status","current_evidence_strength","wave1_state","known_ambiguity","evidence_ids","open_question_ids","pass2_probe_ids","status_upgrade_criteria"
"FML-R-001","ECM-FML-001","XLS-CF-FL-001;XLS-CF-FL-002","provisional","high_spec_plus_wave1_pass2_empirical","wave1_baseline_ok","none_recorded","ECS-003;ECS-008;ECS-EB-033;ECS-EB-040","ECM-Q-001","P2-FML-003;P2-FML-010","Promote to validated after cross-build/channel replication of the pass-2 operator corpus."
"FML-R-002","ECM-FML-001","XLS-CF-FL-001","provisional","high_spec_plus_pass2_empirical","wave1_partial","full cross-build precedence corpus still incomplete","ECS-003;ECS-008;ECS-EB-040","ECM-Q-001","P2-FML-010","Promote to validated when precedence checksum corpus is replicated across targeted channels/builds."
"FML-R-003","ECM-FML-002","XLS-CF-FL-003","provisional","high_behavioral_plus_pass2_empirical","wave1_baseline_ok","stored-form normalization removes explicit @ in tested shapes","ECS-004;ECS-007;ECS-EB-038","ECM-Q-001","P2-FML-008","Promote to validated when @ retention/normalization policy is confirmed across additional syntax contexts and builds."
"FML-R-004","ECM-FML-002","XLS-CF-FL-004","provisional","high_behavioral_plus_wave1_empirical","wave1_baseline_ok","needs broader malformed-token coverage and cross-build check","ECS-005;ECS-006","ECM-Q-001","P2-FML-008","Promote to validated when suffix/prefix/malformed # corpus passes across targeted builds/channels."
"FML-R-005","ECM-FML-002","XLS-CF-FL-005","draft","medium_high_behavioral_plus_pass2","wave1_partial","spill-blocking/update lanes remain incomplete","ECS-006;ECS-007;ECS-EB-038","ECM-Q-001","P2-FML-008","Promote to provisional when spill anchor/update/blocking scenario set is expanded and stable across reruns."
"FML-R-006","ECM-FML-004","XLS-CF-FL-006","provisional","high_formal_anchor_plus_pass2_targeted_empirical_plus_local_parser_floor","wave1_partial","workbook-present/open-state baseline captured including update_links parity in current build; local parser/binder acceptance now exercises whole-row, whole-column, quoted-sheet, and external-qualifier forms; link-update/open permutations across builds remain incomplete","ECS-008;ECS-009;REFX-001;ECS-EB-034;ECS-EB-036;EMP-0011","ECM-Q-001;ECM-Q-011","P2-FML-004;P2-FML-006","Promote to validated when helper-form and external-reference behavior is replicated across targeted channels/builds with explicit link-update/open-state policy coverage and the widened local parser/binder floor remains replay-backed."
"FML-R-007","ECM-FML-004","XLS-CF-FL-007","provisional","high_formal_anchor_plus_pass2_empirical_plus_local_parser_floor","wave1_baseline_ok","normalization coverage now broader and the local parser/binder floor now includes quoted-sheet plus whole-row/whole-column reference forms, but cross-build validation remains incomplete","ECS-009;REFX-001;ECS-EB-039;ECS-EB-038","ECM-Q-001","P2-FML-009","Promote to validated when normalization corpus is replayed across target channels/builds and the widened local reference floor remains stable."
"FML-R-008","ECM-FML-004","XLS-CF-FL-008","provisional","high_behavioral_plus_pass2_targeted_empirical","wave1_not_executed_pass2_targeted","provisional scoped-name policy wording fixed from pass-2c; cross-build replay still required","ECS-010;ECS-011;ECS-008;ECS-EB-035","ECM-Q-001","P2-FML-005","Promote to validated when dual-scope name matrix is replicated across targeted channels/builds and policy remains convergent."
"FML-R-009","ECM-FML-003","XLS-CF-FL-009","provisional","high_behavioral_plus_pass2_empirical","wave1_baseline_ok","none on current qualifier corpus","ECS-012;ECS-013;ECS-014;ECS-EB-037","ECM-Q-001","P2-FML-007","Promote to validated when structured-reference matrix is replayed across target channels/builds."
"FML-R-010","ECM-FML-004","XLS-CF-FL-010","provisional","high_pass2_empirical_conflict","wave1_mismatch","argument-gap variants currently parse/evaluate as accepted in this build","EMP-0001;ECS-EB-031","ECM-Q-010","P2-FML-001","Promote to validated only after multi-build matrix converges or policy is explicitly version-scoped with documented divergence."
"FML-R-011","ECM-FML-004","XLS-CF-FL-011","provisional","mixed_spec_and_pass2_empirical","wave1_probe_only","dot-field parse accepted; linked-data conversion branch remains unavailable in current harness","ECS-024;ECS-025;EMP-0002;ECS-EB-032","ECM-Q-009","P2-FML-002","Promote to validated only after linked-data and non-linked-data matrices define bounded parse/eval policy."
"FML-R-012","ECM-FML-004","XLS-CF-FL-012","provisional","medium_thin_spec_plus_pending_empirical","wave1_not_executed","required-arg omission/coercion/array-lift boundaries are not fully documented in public spec sources","ECS-008;ECS-109;ECS-113;ECS-114;ECS-115","ECM-Q-012","P2-FML-011","Promote to validated only after parse-admission vs runtime-error matrices converge across builds/channels for canonical seeds and representative non-interesting functions."
"FML-R-013","ECM-FML-003;ECM-FML-004","XLS-CF-FL-009","provisional","high_ms_oe376_review_plus_local_review_fixture","w031_review_only","local parser acceptance exists, but omitted-table-name binding and broader table-context semantics are not yet replay-backed","SPEC-discovered-ms-oe376-88e93023-48236;CONF-discovered-ms-oe376-220816-823374c7-1423","ECM-Q-013","W036","Promote to validated only after table-aware bind and runtime semantics are exercised with deterministic replay evidence."
"FML-R-014","ECM-FML-004","XLS-CF-FL-006","provisional","high_ms_oe376_review_plus_local_review_fixture","w031_review_only","R1C1 is source-backed as a separate formula channel, but no local parser/binder/evaluator floor exists yet","CONF-discovered-ms-oe376-220816-823374c7-1434;SPEC-discovered-ms-oe376-88e93023-48474;SPEC-discovered-ms-oe376-88e93023-48487","ECM-Q-014","W037","Promote to validated only after R1C1 parse/bind/translation is replay-backed in the local floor."
"FML-R-015","ECM-FML-004","XLS-CF-FL-008","provisional","high_ms_oe376_review_plus_local_review_fixture","w031_review_only","name and external-name formula carriers are source-backed but not yet modeled as first-class local carrier lanes","CONF-discovered-ms-oe376-220816-823374c7-0362;CONF-discovered-ms-oe376-220816-823374c7-0363;SPEC-discovered-ms-oe376-88e93023-48443;SPEC-discovered-ms-oe376-88e93023-48448;SPEC-discovered-ms-oe376-88e93023-48451","ECM-Q-015","W038","Promote to validated only after name and external-name carrier semantics are replay-backed with stage-aware provider outcomes where applicable."
"FML-R-016","ECM-FML-004","XLS-CF-FL-006","provisional","high_ms_oe376_review_plus_local_review_fixture","w031_review_only","CF and DV restrictions are source-backed, but no local restricted-sublanguage/runtime floor exists yet","CONF-discovered-ms-oe376-220816-823374c7-1427;CONF-discovered-ms-oe376-220816-823374c7-1428;CONF-discovered-ms-oe376-220816-823374c7-1429;CONF-discovered-ms-oe376-220816-823374c7-1430;CONF-discovered-ms-oe376-220816-823374c7-1431","ECM-Q-016","W039","Promote to validated only after CF and DV formula carriers are modeled distinctly and replay-backed in the local proving floor."
